"Date Time, GMT-07:00","Temp, °F (LGR S/N: 1290260, SEN S/N: 1290260)","RH, % (LGR S/N: 1290260, SEN S/N: 1290260)"
10/18/20 23:59:00,78.559,61.539
10/19/20 00:00:00,78.514,61.566
10/19/20 00:01:00,78.514,61.535
10/19/20 00:02:00,78.514,61.596
10/19/20 00:03:00,78.471,61.682
10/19/20 00:04:00,78.471,61.713
10/19/20 00:05:00,78.471,61.773
10/19/20 00:06:00,78.427,61.769
10/19/20 00:07:00,78.427,61.799
10/19/20 00:08:00,78.427,61.769
10/19/20 00:09:00,78.427,61.769
10/19/20 00:10:00,78.382,61.765
10/19/20 00:11:00,78.382,61.735
10/19/20 00:12:00,78.339,61.731
10/19/20 00:13:00,78.339,61.731
10/19/20 00:14:00,78.339,61.671
10/19/20 00:15:00,78.339,61.610
10/19/20 00:16:00,78.296,61.637
10/19/20 00:17:00,78.296,61.576
10/19/20 00:18:00,78.296,61.546
10/19/20 00:19:00,78.251,61.573
10/19/20 00:20:00,78.251,61.573
10/19/20 00:21:00,78.208,61.569
10/19/20 00:22:00,78.208,61.539
10/19/20 00:23:00,78.165,61.565
10/19/20 00:24:00,78.165,61.505
10/19/20 00:25:00,78.165,61.535
10/19/20 00:26:00,78.165,61.505
10/19/20 00:27:00,78.121,61.531
10/19/20 00:28:00,78.076,61.557
10/19/20 00:29:00,78.033,61.614
10/19/20 00:30:00,77.990,61.610
10/19/20 00:31:00,77.990,61.640
10/19/20 00:32:00,77.945,61.666
10/19/20 00:33:00,77.902,61.662
10/19/20 00:34:00,77.859,61.689
10/19/20 00:35:00,77.859,61.689
10/19/20 00:36:00,77.815,61.715
10/19/20 00:37:00,77.815,61.715
10/19/20 00:38:00,77.815,61.745
10/19/20 00:39:00,77.770,61.741
10/19/20 00:40:00,77.770,61.771
10/19/20 00:41:00,77.727,61.768
10/19/20 00:42:00,77.727,61.798
10/19/20 00:43:00,77.727,61.798
10/19/20 00:44:00,77.684,61.794
10/19/20 00:45:00,77.684,61.794
10/19/20 00:46:00,77.684,61.764
10/19/20 00:47:00,77.639,61.790
10/19/20 00:48:00,77.639,61.820
10/19/20 00:49:00,77.639,61.850
10/19/20 00:50:00,77.639,61.820
10/19/20 00:51:00,77.596,61.786
