"Date Time, GMT-07:00","Temp, °F (LGR S/N: 10218642, SEN S/N: 10218642)","RH, % (LGR S/N: 10218642, SEN S/N: 10218642)",1
10/18/20 23:59:00,76.028,59.317,
10/19/20 00:00:00,76.071,59.289,
10/19/20 00:01:00,76.071,59.320,
10/19/20 00:02:00,76.071,59.289,
10/19/20 00:03:00,76.114,59.262,
10/19/20 00:04:00,76.114,59.293,
10/19/20 00:05:00,76.158,59.297,
10/19/20 00:06:00,76.158,59.266,
10/19/20 00:07:00,76.158,59.235,
10/19/20 00:08:00,76.158,59.328,
10/19/20 00:09:00,76.203,59.270,
10/19/20 00:10:00,76.203,59.239,
10/19/20 00:11:00,76.158,59.328,
10/19/20 00:12:00,76.203,59.270,
10/19/20 00:13:00,76.203,59.332,
10/19/20 00:14:00,76.203,59.270,
10/19/20 00:15:00,76.203,59.301,
10/19/20 00:16:00,76.203,59.301,
10/19/20 00:17:00,76.203,59.301,
10/19/20 00:18:00,76.203,59.301,
10/19/20 00:19:00,76.246,59.335,
10/19/20 00:20:00,76.246,59.304,
10/19/20 00:21:00,76.246,59.366,
10/19/20 00:22:00,76.246,59.397,
10/19/20 00:23:00,76.246,59.397,
10/19/20 00:24:00,76.289,59.370,
10/19/20 00:25:00,76.289,59.370,
10/19/20 00:26:00,76.289,59.432,
10/19/20 00:27:00,76.332,59.435,
10/19/20 00:28:00,76.375,59.439,
10/19/20 00:29:00,76.375,59.470,
10/19/20 00:30:00,76.375,59.439,
10/19/20 00:31:00,76.419,59.474,
10/19/20 00:32:00,76.464,59.478,
10/19/20 00:33:00,76.464,59.508,
10/19/20 00:34:00,76.507,59.481,
10/19/20 00:35:00,76.550,59.485,
10/19/20 00:36:00,76.550,59.485,
10/19/20 00:37:00,76.593,59.489,
10/19/20 00:38:00,76.636,59.493,
10/19/20 00:39:00,76.636,59.462,
10/19/20 00:40:00,76.681,59.466,
10/19/20 00:41:00,76.681,59.466,
10/19/20 00:42:00,76.725,59.438,
10/19/20 00:43:00,76.725,59.438,
10/19/20 00:44:00,76.768,59.442,
10/19/20 00:45:00,76.768,59.411,
10/19/20 00:46:00,76.811,59.446,
10/19/20 00:47:00,76.811,59.384,
10/19/20 00:48:00,76.854,59.419,
10/19/20 00:49:00,76.854,59.388,
10/19/20 00:50:00,76.854,59.388,
10/19/20 00:51:00,76.899,59.392,
10/19/20 00:52:00,76.899,59.361,
10/19/20 00:53:00,76.942,59.395,
10/19/20 00:54:00,76.942,59.365,
10/19/20 00:55:00,76.986,59.399,
10/19/20 00:56:00,77.029,59.372,
10/19/20 00:57:00,77.029,59.341,
10/19/20 00:58:00,77.029,59.341,
10/19/20 00:59:00,77.072,59.345,
10/19/20 01:00:00,77.072,59.345,
10/19/20 01:01:00,77.072,59.345,
10/19/20 01:02:00,77.072,59.345,
10/19/20 01:03:00,77.117,59.349,
10/19/20 01:04:00,77.117,59.349,
10/19/20 01:05:00,77.117,59.318,
10/19/20 01:06:00,77.160,59.322,
10/19/20 01:07:00,77.160,59.322,
10/19/20 01:08:00,77.160,59.322,
10/19/20 01:09:00,77.160,59.291,
10/19/20 01:10:00,77.160,59.291,
10/19/20 01:11:00,77.160,59.291,
10/19/20 01:12:00,77.203,59.294,
10/19/20 01:13:00,77.203,59.294,
10/19/20 01:14:00,77.203,59.263,
10/19/20 01:15:00,77.203,59.263,
10/19/20 01:16:00,77.203,59.294,
10/19/20 01:17:00,77.247,59.298,
10/19/20 01:18:00,77.247,59.267,
10/19/20 01:19:00,77.247,59.267,
10/19/20 01:20:00,77.247,59.236,
10/19/20 01:21:00,77.247,59.267,
10/19/20 01:22:00,77.247,59.236,
10/19/20 01:23:00,77.247,59.236,
10/19/20 01:24:00,77.292,59.240,
10/19/20 01:25:00,77.292,59.240,
10/19/20 01:26:00,77.292,59.240,
10/19/20 01:27:00,77.292,59.271,
10/19/20 01:28:00,77.292,59.240,
10/19/20 01:29:00,77.292,59.240,
10/19/20 01:30:00,77.292,59.240,
10/19/20 01:31:00,77.292,59.240,
10/19/20 01:32:00,77.292,59.240,
10/19/20 01:33:00,77.335,59.213,
10/19/20 01:34:00,77.335,59.213,
10/19/20 01:35:00,77.335,59.213,
10/19/20 01:36:00,77.335,59.213,
10/19/20 01:37:00,77.335,59.213,
10/19/20 01:38:00,77.335,59.213,
10/19/20 01:39:00,77.335,59.182,
10/19/20 01:40:00,77.335,59.182,
10/19/20 01:41:00,77.335,59.182,
10/19/20 01:42:00,77.335,59.182,
10/19/20 01:43:00,77.335,59.182,
10/19/20 01:44:00,77.335,59.182,
10/19/20 01:45:00,77.335,59.182,
10/19/20 01:46:00,77.335,59.182,
10/19/20 01:47:00,77.335,59.182,
10/19/20 01:48:00,77.335,59.182,
10/19/20 01:49:00,77.335,59.182,
10/19/20 01:50:00,77.335,59.182,
10/19/20 01:51:00,77.335,59.182,
10/19/20 01:52:00,77.335,59.151,
10/19/20 01:53:00,77.335,59.151,
10/19/20 01:54:00,77.378,59.186,
10/19/20 01:55:00,77.378,59.155,
10/19/20 01:56:00,77.378,59.186,
10/19/20 01:57:00,77.378,59.155,
10/19/20 01:58:00,77.378,59.186,
10/19/20 01:59:00,77.378,59.186,
10/19/20 02:00:00,77.378,59.155,
10/19/20 02:01:00,77.378,59.155,
10/19/20 02:02:00,77.378,59.155,
10/19/20 02:03:00,77.378,59.155,
10/19/20 02:04:00,77.378,59.155,
10/19/20 02:05:00,77.378,59.155,
10/19/20 02:06:00,77.378,59.155,
10/19/20 02:07:00,77.378,59.124,
10/19/20 02:08:00,77.378,59.155,
10/19/20 02:09:00,77.378,59.155,
10/19/20 02:10:00,77.378,59.155,
