@RELATION sensation

@ATTRIBUTE env_temp NUMERIC
@ATTRIBUTE rh NUMERIC
@ATTRIBUTE heart_rate NUMERIC
@ATTRIBUTE stress_level NUMERIC
@ATTRIBUTE skin_temp NUMERIC
@ATTRIBUTE eda NUMERIC
@ATTRIBUTE Clo NUMERIC
@ATTRIBUTE Act NUMERIC
@ATTRIBUTE TS NUMERIC

@DATA
24.84722222,51.45399999999999,102.0,82.0,31.899932432432443,0.004647999999999999,0.36,1.0,4
25.11277778,54.34,106.0,84.0,32.189,0.0096325,0.36,1.0,4
25.40388889,51.65600000000001,90.0,51.0,31.955,0.0085725,0.36,1.0,4
25.23388889,53.917,107.0,85.5,31.039,0.0050295,0.36,1.0,4
25.04,53.448,99.0,71.0,30.695,0.003778,0.36,1.0,4
25.50111111,53.63800000000001,94.0,60.0,32.5,0.008942,0.36,1.0,4
25.91388889,53.537,110.0,95.0,32.552,0.010386,0.36,1.0,4
26.01222222,53.642,107.0,44.223076923076924,30.775,0.016287,0.36,1.0,4
26.28,53.492,103.0,78.0,31.772,0.0148575,0.36,1.0,4
25.42777778,47.843,98.0,69.0,30.405,0.008554,0.36,1.0,4
24.77388889,49.036,92.0,55.0,31.562,0.0086595,0.36,1.0,4
25.11277778,52.445,92.0,53.0,30.431,0.0098515,0.36,1.0,4
25.62277778,53.18,89.95945945945945,44.223076923076924,31.17,0.8453225000000001,0.36,1.0,4
25.01611111,51.795,102.0,44.223076923076924,31.431,0.009238,0.36,0.8,4
25.16222222,53.085,89.95945945945945,9.0,32.267,0.016063,0.36,0.8,4
25.21,53.535,83.5,20.0,33.147,0.01024,0.36,0.8,4
25.28277778,53.82899999999999,83.0,7.0,31.899932432432443,0.051708580246913584,0.36,0.8,4
25.38,54.157,84.5,21.0,31.353,0.006427500000000001,0.36,0.8,4
25.45277778,54.167,89.95945945945945,5.0,32.422,0.024999,0.36,0.8,4
25.55,54.527,68.5,3.0,33.096,0.033683,0.36,0.8,4
25.695,55.113,68.0,7.0,31.955,0.011416,0.36,0.8,4
25.81722222,54.69,70.5,0.0,32.526,0.008266500000000001,0.36,0.8,4
25.86611111,54.44600000000001,92.0,16.0,31.641,0.0067985,0.36,1.0,4
26.06111111,53.683,75.0,6.0,32.863,0.010153,0.36,1.0,4
24.67722222,57.945,92.0,59.0,31.899932432432443,0.0058705,0.36,1.0,4
25.355,56.992,89.0,48.0,31.772,0.0067265,0.36,1.0,4
25.50111111,56.396,89.95945945945945,80.0,30.087,0.003597,0.36,1.0,4
25.74388889,55.902,93.0,80.0,31.899932432432443,0.003797,0.36,1.0,4
25.93888889,55.68,86.0,45.0,31.899932432432443,0.0020045,0.36,1.0,4
26.01222222,55.881,74.5,6.0,30.352,0.0080135,0.36,1.0,4
26.13388889,56.114,93.0,36.0,31.899932432432443,0.018661,0.36,1.0,4
26.23111111,55.753,99.0,71.0,30.563,0.0037305,0.36,1.0,4
25.13722222,51.907,126.0,44.223076923076924,31.536,0.007599,0.36,1.1,4
24.67722222,51.941,104.0,95.0,31.745,0.006804000000000001,0.36,1.0,4
25.23388889,54.137,99.0,82.0,32.215,0.005229999999999999,0.36,1.0,4
25.42777778,51.275,97.0,76.5,32.215,0.006480500000000001,0.36,1.0,3
24.99222222,52.872,103.0,81.0,30.378,0.003954999999999999,0.36,1.0,4
24.50777778,48.808,94.0,61.0,30.034,0.0067205,0.36,1.0,3
24.05,49.685,91.0,54.0,30.669,0.0020945,0.36,0.8,4
23.905,51.488,83.0,18.0,31.745,0.00472,0.36,0.8,4
24.58111111,54.04600000000001,84.0,25.0,31.798,0.002851,0.36,0.8,4
25.01611111,54.82899999999999,78.0,14.0,30.272,0.003392,0.36,0.8,4
25.13722222,55.347,67.0,15.0,34.661,0.0840915,0.36,0.8,4
25.23388889,55.797,66.0,10.0,34.814,0.0828425,0.36,0.8,4
25.355,56.12600000000001,89.95945945945945,21.0,33.456,0.086812,0.36,0.8,4
25.40388889,55.822,69.0,6.0,33.07,0.0059555,0.36,0.8,4
25.45277778,55.548,89.95945945945945,1.0,32.63,0.012455,0.36,0.8,4
25.50111111,55.33600000000001,66.0,0.0,31.615,0.006445,0.36,0.8,4
25.57388889,55.628,93.0,44.223076923076924,32.215,0.0060765,0.36,1.1,4
25.96277778,55.652,94.5,44.223076923076924,31.798,0.02563,0.36,1.0,4
26.37777778,55.272,87.0,44.223076923076924,32.915,0.0068575,0.36,1.0,3
25.81722222,52.508,83.5,38.5,32.111,0.0061915,0.36,1.0,4
25.86611111,53.815,75.0,44.223076923076924,32.5,0.007831,0.36,1.0,4
26.03611111,54.154,78.0,44.223076923076924,32.292,0.04545,0.36,1.0,4
24.48388889,58.37600000000001,89.95945945945945,39.0,31.899932432432443,0.003658,0.36,1.0,4
25.01611111,57.995,89.0,53.0,30.854,0.0126135,0.36,1.0,4
25.47722222,57.13800000000001,81.0,37.0,30.352,0.0047975000000000005,0.36,1.0,4
25.72,56.397,101.0,85.5,30.325,0.003195,0.36,1.0,4
25.79277778,56.37600000000001,108.0,90.0,31.899932432432443,0.006571,0.36,1.0,4
26.13388889,55.989,104.0,84.0,30.378,0.002615,0.36,1.0,4
26.40222222,55.621,89.95945945945945,90.0,30.563,0.0043100000000000005,0.36,1.0,4
25.84111111,52.82899999999999,96.0,69.0,30.034,0.0017565,0.36,1.7,4
25.33111111,52.15600000000001,42.0,0.0,30.021,0.008405,0.36,1.1,4
24.94388889,50.282,123.0,44.223076923076924,32.63,0.0072060000000000015,0.36,1.0,4
24.91888889,51.24,108.0,44.223076923076924,32.37,0.007465999999999999,0.36,1.0,4
24.91888889,53.337,99.0,44.223076923076924,31.327,0.5155805,0.36,0.8,4
24.87111111,55.402,96.0,75.0,31.536,0.0063100000000000005,0.36,1.0,4
24.55722222,54.639,100.5,78.0,30.854,0.003849,0.36,1.0,3
24.48388889,52.074,97.0,77.0,31.902,0.0203245,0.36,1.0,3
24.895,54.815,117.0,44.223076923076924,32.033,0.0658675,0.36,2.7,5
24.17111111,52.761,86.0,44.223076923076924,32.863,0.0749855,0.36,1.0,4
24.38777778,54.74,81.0,17.0,32.733000000000004,0.095492,0.36,1.0,4
24.55722222,55.887,79.0,26.0,32.292,0.120536,0.36,1.0,3
23.83277778,51.288,85.0,44.223076923076924,31.458,0.1241965,0.36,1.7,4
24.09777778,53.382,103.0,44.223076923076924,31.981,0.140549,0.36,1.1,4
24.48388889,55.285,93.0,44.223076923076924,32.941,0.1930625,0.36,1.0,4
24.99222222,55.451,95.0,68.0,33.147,0.2170245,0.36,1.0,4
25.45277778,55.078,89.0,35.5,33.945,0.242516,0.36,1.0,4
25.55,55.249,78.0,22.0,33.893,0.2640155,0.36,1.0,4
25.57388889,55.096,82.0,24.0,33.405,0.1201655,0.36,1.1,4
25.64722222,55.294,66.0,3.0,33.507,0.127339,0.36,1.0,4
25.93888889,55.24100000000001,67.0,1.0,34.047,0.223298,0.36,1.0,4
26.20722222,54.588,89.95945945945945,44.223076923076924,31.899932432432443,0.051708580246913584,0.36,1.0,4
