height,weight,gender,bmi,rh,stress_level,skin_temp,TC,TS,Clo,env_temp
1.6,52.5,1.0,20.5078125,62.985,19.5,32.00344904279279,4.0,4.0,0.61,75.942
1.77,58.0,-1.0,18.51319863,48.702,2.0,30.933000000000003,4.0,4.0,0.36,77.378
1.71,64.0,-1.0,21.88707637,47.99,33.0,33.199,4.0,4.0,0.61,75.484
1.77,58.0,-1.0,18.51319863,52.445,53.0,30.431,4.0,4.0,0.36,77.203
1.77,58.0,-1.0,18.51319863,56.396,80.0,30.087,4.0,4.0,0.36,77.902
1.77,90.0,-1.0,28.72737719,58.161,32.111012956419316,31.876,4.0,4.0,0.36,75.16
1.71,64.0,-1.0,21.88707637,51.62,30.0,32.941,5.0,5.0,0.5,77.749
1.64,54.0,1.0,20.07733492,41.87,32.111012956419316,32.00344904279279,4.0,4.0,0.74,73.926
1.8,75.0,-1.0,23.14814815,51.9,0.0,31.981,4.0,5.0,0.31,79.32600000000002
1.77,68.0,-1.0,21.70512943,57.932,32.111012956419316,32.00344904279279,5.0,4.0,0.54,74.42399999999998
1.67,56.0,1.0,20.07960128,57.78,50.0,32.00344904279279,4.0,4.0,0.74,73.234
1.77,68.0,-1.0,21.70512943,60.07,34.0,31.615,3.0,3.0,0.54,76.63600000000002
1.77,68.0,-1.0,21.70512943,58.981,32.111012956419316,32.00344904279279,4.0,4.0,0.54,73.472
1.77,68.0,-1.0,21.70512943,54.59,20.0,32.00344904279279,4.0,4.0,0.54,75.985
1.69,75.0,-1.0,26.25958475,55.34,77.0,31.641,3.0,6.0,0.31,80.029
1.78,73.0,-1.0,23.0400202,62.45,9.0,33.199,5.0,4.0,0.36,78.274
1.77,68.0,-1.0,21.70512943,58.453,32.111012956419316,32.00344904279279,4.0,4.0,0.54,74.03399999999998
1.8,75.0,-1.0,23.14814815,55.14,15.0,32.63,5.0,4.0,0.31,78.449
1.62,56.0,1.0,21.33821064,57.452,28.0,31.17,5.0,6.0,0.61,75.204
1.77,68.0,-1.0,21.70512943,48.82,14.0,32.00344904279279,3.0,4.0,0.54,73.558
