@relation 01

@attribute env_temp numeric
@attribute rh numeric
@attribute heart_rate numeric
@attribute stress_level numeric
@attribute skin_temp numeric
@attribute eda numeric
@attribute Clo numeric
@attribute Act numeric
@attribute TC numeric

@data
25.55,62.122,60,17,32.019343,0.32826,0.74,1,4
25.671111,62.321,78,60,30.748,0.92632,0.74,1.1,4
25.841111,62.255,79,46,31.327,1.232405,0.74,1.1,4
26.133889,61.491,94,91,31.458,0.375005,0.74,1,4
26.352778,61.071,85,71,32.085,0.081127,0.74,1,4
26.451111,61.026,74,53,31.327,0.056724,0.74,1,4
26.597778,60.806,76,50,32.059,0.047717,0.74,1,4
26.743889,60.402,84,50,32.759,0.086067,0.74,1,4
25.913889,61.905,74,48,31.876,0.135945,0.74,1,4
26.157778,61.948,64,15,32.215,0.070101,0.74,1,4
26.036111,62.199,67,33.21875,32.292,0.096819,0.74,1,4
26.012222,62.105,64,46,32.863,0.637919,0.74,1,4
26.646111,61.965,60.5,5,32.137,0.539523,0.74,1,4
25.792778,62.01,75.714286,16,30.933,0.501436,0.74,1,4
25.355,62.6,87,79,31.353,0.529814,0.74,1.1,4
25.452778,62.975,77,33.21875,32.448,0.410551,0.74,1.1,4
26.28,60.726,71,34,33.276,0.372204,0.74,1.1,4
26.328889,60.368,67,23,33.585,0.365164,0.74,1.1,4
26.426111,60.261,74,46,33.405,0.354855,0.74,1.1,4
26.303889,59.785,109,33.21875,33.07,0.345183,0.74,1.1,4
26.157778,59.701,77,61,32.785,0.306684,0.74,1.1,4
26.061111,59.991,75.714286,61,32.396,0.074261,0.74,1.1,4
26.036111,60.14,70,55,32.215,0.09943,0.74,1.1,4
25.987222,60.315,64,33.21875,32.837,0.141847,0.74,1.1,4
25.866111,60.54,65,45,32.811,0.150903,0.74,1.1,4
24.702222,62.076,61,8,32.019343,0.32826,0.31,0.8,4
24.822778,62.035,55,6,32.019343,0.32826,0.31,0.8,4
25.065,62.524,64,33.21875,31.196,0.069307,0.74,0.8,4
25.186111,62.573,73,60,30.484,0.024071,0.74,1,4
25.233889,62.521,100.5,87,31.091,0.129504,0.74,1,4
25.257778,62.555,104,33.21875,31.274,0.060142,0.74,1.1,4
25.427778,62.612,127,97,31.327,0.065489,0.74,1.1,4
25.525,63.017,96,33.21875,31.222,0.121345,0.74,1.1,4
26.328889,63.387,91,83,31.274,0.146962,0.74,1.1,4
26.548889,61.496,84,83,32.189,0.182755,0.74,1,4
26.426111,61.143,84,79,32.344,0.411076,0.74,1,4
26.303889,61.154,79,46,31.667,0.430737,0.74,1,4
26.182222,60.858,73,41,31.588,1.042401,0.74,1,4
26.182222,60.71,75.714286,33.21875,31.745,1.373843,0.74,1,4
26.036111,60.839,66,20,31.458,1.053446,0.74,1,4
26.085,60.604,69,33.21875,31.17,2.136545,0.74,1,4
25.622778,61.138,75.714286,33.21875,32.019343,0.008502,0,1.2,6
25.233889,62.011,75,33.21875,31.458,0.193279,0.74,1,5
25.355,62.361,72,39,32.007,0.313489,0.74,1,5
25.841111,61.173,77,63,32.37,0.204692,0.74,1,5
25.913889,61.089,100.5,33.21875,32.37,0.177494,0.74,1,4
25.913889,60.82,88,60,32.215,0.186711,0.74,1,4
25.913889,60.699,70,9,32.033,0.068088,0.74,1,4
25.987222,60.589,72,15,32.241,0.122297,0.74,1,4
25.89,60.964,81.5,30,32.552,0.139854,0.74,1,3
25.792778,61.044,81,7,32.552,0.169282,0.74,1,3
25.767778,61.04,65,2,32.474,0.171619,0.74,1,3
25.622778,60.745,75.714286,0,32.889,0.177812,0.74,1,3
25.622778,60.835,58,0,32.292,0.172983,0.74,1,3
24.218889,63.073,75.714286,33.21875,32.019343,0.005106,0.31,1,4
24.773889,62.537,78,10,31.745,0.631832,0.74,1,4
25.112778,61.811,72,16,31.798,0.669535,0.74,1,4
25.21,61.857,70,2,32.059,0.440038,0.74,1,4
25.233889,61.801,65,0,31.615,0.287606,0.74,1,4
25.331111,61.816,73,35,31.562,0.242693,0.74,1,4
25.427778,61.771,77,44,31.719,0.296033,0.74,1,4
25.501111,61.753,77,15,32.241,0.263526,0.74,1,4
25.525,61.636,70,20,32.059,0.263771,0.74,1,3
25.597778,61.437,73,7,32.137,0.250057,0.74,1,3
25.743889,60.669,68.5,7,32.241,0.239517,0.74,1,3
25.647222,60.688,73,15,32.37,0.240482,1,0.8,5
25.38,60.828,61,0,32.111,0.263069,1,0.8,6
25.137222,61.183,57,5,32.033,0.261908,1,0.8,6
24.967778,61.457,72.5,1,32.344,0.264096,1,0.8,6
24.895,61.657,89,33.21875,32.5,0.269047,1,0.8,6
25.21,62.697,69,6,31.667,0.220582,0.74,1,4
25.355,62.091,80,45,31.353,0.249282,0.74,1,4
25.307222,62.353,72,14,32.019343,0.32826,0.74,1,4
25.065,62.194,71,16,32.019343,0.32826,0.74,1,4
24.992222,62.332,64,2,32.019343,0.32826,0.74,1,4
24.943889,62.205,75.714286,8,32.019343,0.32826,0.74,1,4
24.75,62.589,75.714286,3,32.019343,0.32826,0.74,1.2,4
24.967778,62.298,81,48,32.019343,0.32826,0.74,1,4
