env_temp,rh,heart_rate,stress_level,skin_temp,eda,Clo,Act,TC
23.29222222,65.4,82.78125,54.82236842,33.01314706,73.937247,0.5,1,3
23.29222222,64.79,82.78125,54.82236842,33.01314706,73.9372495,0.36,1.1,3
23.38777778,65.49,82.78125,1,31.955,0.054604,0.36,1,3
23.38777778,65.59,82.78125,18,32.707,0.105565,0.36,1,3
23.48388889,65.47,62,16,31.641,0.0990665,0.36,1,3
23.58111111,65.66,79,58,31.85,0.0744175,0.36,1,3
23.77277778,65,87,80,31.013,0.0953095,0.36,1,3
24.06222222,63.59,82,58,32.474,0.131066,0.36,1.8,4
24.545,62.96,77,54,32.344,0.145973,0.36,1,4
25.31888889,62.36,79,62,32.941,0.1958375,0.36,1,4
25.41611111,56.15,65,27,32.215,0.2348075,0.36,1.1,4
25.61,55.03,99,54.82236842,32.837,0.162476,0.36,1,4
26.97722222,56.56,74,33,33.25,0.065873,0.36,2.7,4
27.075,56.31,90,81,33.096,0.0795525,0.36,1,6
27.27222222,58.31,95,63,32.396,6.893374,0.36,1,6
27.96111111,59.78,82.78125,54.82236842,32.604,52.794492,0.36,1,4
26.68277778,44.83,81.5,64,33.61,2.81883,0.36,1,4
29.15222222,38.62,89,69,32.915,1.636139,0.57,1.4,6
29.35222222,37.38,87,67,32.422,0.851713,0.57,1.4,5
29.15222222,31.95,65,12,32.578,1.099001,0.57,1.4,5
29.15222222,34.48,93,54.82236842,30.933,0.0665065,0.57,1,5
25.805,42.57,80,60,32.967,4.7418845,0.36,1,4
25.51277778,49.96,77.5,60,33.739,1.031172,0.36,1,4
26.48777778,50.08,85,67,33.765,0.9440265,0.36,1,4
27.075,50.32,77,53,33.893,1.093441,0.36,1,4
27.665,51.07,85,41,33.353,0.6105065,0.36,1,4
27.76388889,52.31,102,54.82236842,33.173,1.2209145,0.36,1,4
27.37,47.16,102,86,32.267,3.440099,0.36,1,4
24.73777778,40.13,88,73,33.662,3.121598,0.36,1,4
24.835,48.43,70,54.82236842,33.739,2.84567,0.36,1,5
25.22222222,51.93,93,81,34.175,0.7809345,0.36,1.7,4
26.39,52.09,82.78125,80,33.971,3.1676185,0.36,1,4
