,test_env_temp,tc_4,tc_5,tc_10,tc_12,tc_14,tc_22,otd
0,15.0,3.0,3.0,2.0,3.0,2.0,3.0,18
1,15.5,3.0,3.0,2.0,3.0,2.0,3.0,18
2,16.0,3.0,3.0,2.0,3.0,2.0,3.0,18
3,16.5,3.0,3.0,2.0,3.0,2.0,3.0,18
4,17.0,3.0,3.0,2.0,3.0,2.0,3.0,18
5,17.5,3.0,3.0,2.0,3.0,2.0,3.0,18
6,18.0,3.0,3.0,2.0,3.0,2.0,3.0,18
7,18.5,3.0,3.0,2.0,3.0,2.0,3.0,18
8,19.0,3.0,3.0,2.0,3.0,2.0,3.0,18
9,19.5,3.0,3.0,2.0,3.0,2.0,3.0,18
10,20.0,3.0,3.0,2.0,3.0,2.0,3.0,18
11,20.5,3.0,3.0,2.0,3.0,2.0,3.0,18
12,21.0,3.0,3.0,2.0,3.0,2.0,3.0,18
13,21.5,3.0,3.0,2.0,3.0,2.0,3.0,18
14,22.0,3.0,3.0,2.0,3.0,2.0,3.0,18
15,22.5,3.0,3.0,2.0,3.0,2.0,3.0,18
16,23.0,3.0,3.0,2.0,3.0,2.0,3.0,18
17,23.5,3.0,3.0,2.0,3.0,2.0,3.0,18
18,24.0,3.0,3.0,2.0,3.0,2.0,3.0,18
19,24.5,3.0,3.0,2.0,3.0,2.0,3.0,18
20,25.0,3.0,3.0,2.0,3.0,1.0,3.0,25
21,25.5,4.0,3.0,2.0,3.0,2.0,3.0,17
22,26.0,4.0,3.0,2.0,3.0,2.0,3.0,17
23,26.5,4.0,4.0,3.0,3.0,2.0,3.0,10
24,27.0,4.0,4.0,3.0,3.0,2.0,3.0,10
25,27.5,4.0,4.0,3.0,3.0,2.0,3.0,10
26,28.0,4.0,3.0,3.0,3.0,2.0,3.0,11
27,28.5,4.0,3.0,3.0,3.0,2.0,3.0,11
28,29.0,4.0,5.0,3.0,3.0,2.0,3.0,10
29,29.5,4.0,5.0,3.0,3.0,2.0,3.0,10
30,30.0,4.0,5.0,3.0,3.0,2.0,3.0,10
31,30.5,4.0,5.0,3.0,3.0,2.0,3.0,10
32,31.0,4.0,5.0,3.0,3.0,2.0,3.0,10
33,31.5,4.0,5.0,3.0,3.0,2.0,3.0,10
34,32.0,4.0,5.0,3.0,3.0,2.0,3.0,10
35,32.5,4.0,5.0,3.0,3.0,2.0,3.0,10
36,33.0,4.0,5.0,3.0,3.0,2.0,3.0,10
37,33.5,4.0,5.0,3.0,3.0,2.0,3.0,10
38,34.0,4.0,5.0,3.0,3.0,2.0,3.0,10
39,34.5,4.0,5.0,3.0,3.0,2.0,3.0,10
40,35.0,4.0,5.0,3.0,3.0,2.0,3.0,10
